A,B,C,D,E,F,G,H,I
11,61.488,70.896,77.364,3104,2381,2547,87,77
23,58.17,69.592,NULL,2850,2226,NULL,87,77
14,61.544,71.768,NULL,3561,2502,NULL,87,77
7,50.939,72.44,77.328,3360,2237,1608,87,77
4,62.657,70.72,80.019,2571,2178,1940,87,77
1,62.902,70.28,79.695,2208,2045,2173,87,77
26,59.92,68.336,NULL,2516,2050,NULL,87,77
16,60.928,69.672,NULL,2821,2238,NULL,87,77
13,60.914,69.776,NULL,2920,2465,NULL,87,77
6,59.808,71.76,79.191,2374,2134,2224,87,77
17,59.864,69.384,NULL,2657,2606,NULL,87,77
3,61.635,70.152,79.011,2363,2171,2228,87,77
21,59.976,69.712,NULL,2641,2444,NULL,87,77
24,59.171,69.672,NULL,2674,2071,NULL,87,77
10,59.836,69.864,77.301,3448,2342,2120,87,77
13,61.061,67.976,NULL,3396,2454,NULL,87,77
19,60.879,69.76,NULL,2621,2253,NULL,87,77
22,58.919,65.896,NULL,2895,2374,NULL,87,77
3,61.691,71.472,80.001,2358,2639,2288,87,77
25,60.312,70.048,NULL,2734,2307,NULL,87,77
0,59.885,70.784,79.191,614,492,366,87,77
12,60.585,69.392,74.88,2183,2328,2180,87,77
23,60.235,68.424,NULL,2632,2157,NULL,87,77
9,59.759,70.256,78.984,1870,1460,1575,87,77
15,59.773,70.552,NULL,3121,2508,NULL,87,77
5,62.426,68.776,80.1,1752,1651,2516,87,77
20,58.94,70.048,NULL,2724,2362,NULL,87,77
2,62.671,71.584,79.605,2285,2214,2181,87,77
9,59.556,71.448,76.923,2354,2166,1327,87,77
12,59.43,67.976,70.326,2696,2604,2862,87,77
18,59.402,70.04,NULL,2995,2405,NULL,87,77
6,61.152,70.856,78.669,2765,2326,2198,87,77
21,58.429,69.68,NULL,3035,2246,NULL,87,77
2,62.293,70.864,78.147,2412,1991,2405,87,77
11,61.327,69.32,78.579,3041,2385,2212,87,77
16,59.318,69.36,NULL,2731,2326,NULL,87,77
19,61.271,71.96,NULL,3220,2555,NULL,87,77
8,61.005,69.224,79.677,3118,2317,1597,87,77
22,57.477,68.48,NULL,2276,1939,NULL,87,77
1,62.643,67.984,78.615,1781,1271,1164,87,77
24,61.117,68.2,NULL,2515,2031,NULL,87,77
8,61.502,71.792,79.506,3645,2373,1736,87,77
15,61.117,69.36,NULL,2704,2184,NULL,87,77
17,60.564,70.08,NULL,2872,2444,NULL,87,77
20,60.137,69.856,NULL,2752,2307,NULL,87,77
5,63.28,70.712,79.533,2915,2110,1973,87,77
10,62.825,70.464,77.373,3427,2566,1670,87,77
14,60.34,69.744,NULL,3008,2501,NULL,87,77
7,57.757,70.16,78.867,2768,1929,1416,87,77
18,61.04,69.208,NULL,2730,2039,NULL,87,77
4,60.522,71.12,80.163,1937,2402,2327,87,77
25,61.089,69.368,NULL,2514,2748,NULL,87,77
